Exporter M.49,Exporter ISO3,Exporter,Exporter region,Importer M.49,Importer ISO3,Importer,Importer region,Resource,Year,Value (1000USD),Weight (1000kg)
,,All,,,,All,,Agricultural products,2005,611673993.4,1159838298
,,All,,,,All,,Fertilizers,2005,33791407.53,162676243.2
,,All,,,,All,,Forestry products,2005,114669146.1,335853067.9
,,All,,,,All,,Fossil fuels,2005,1706614179,5700859330
,,All,,,,All,,Metals and minerals,2005,722447339.5,2243900116
,,All,,,,All,,Pearls and gemstones,2005,79290231.69,111260.6832
,,All,,,,All,,Agricultural products,2006,679449785.4,1271954677
,,All,,,,All,,Fertilizers,2006,35492324.71,162249125.1
,,All,,,,All,,Forestry products,2006,123567294.9,338570448.3
,,All,,,,All,,Fossil fuels,2006,2098085063,5877800857
,,All,,,,All,,Metals and minerals,2006,939922550.4,2446645051
,,All,,,,All,,Pearls and gemstones,2006,72632409.4,143471.3714
,,All,,,,All,,Agricultural products,2007,812731315.2,1328133450
,,All,,,,All,,Fertilizers,2007,48733556.51,180788931.5
,,All,,,,All,,Forestry products,2007,142038431.5,378385112.3
,,All,,,,All,,Fossil fuels,2007,2295483079,5847551140
,,All,,,,All,,Metals and minerals,2007,1180598582,2603749023
,,All,,,,All,,Pearls and gemstones,2007,97847707.88,137511.9567
,,All,,,,All,,Agricultural products,2008,992908110,1818795668
,,All,,,,All,,Fertilizers,2008,89084996.15,176634590
,,All,,,,All,,Forestry products,2008,144559348.6,354847289.3
,,All,,,,All,,Fossil fuels,2008,3263926340,6335737510
,,All,,,,All,,Metals and minerals,2008,1389281737,2656142992
,,All,,,,All,,Pearls and gemstones,2008,109226232,106335.146
,,All,,,,All,,Agricultural products,2009,853963822.2,1554444174
,,All,,,,All,,Fertilizers,2009,47804178.83,135487833.5
,,All,,,,All,,Forestry products,2009,107581455.1,310518455.9
,,All,,,,All,,Fossil fuels,2009,2094955705,5332455121
,,All,,,,All,,Metals and minerals,2009,879564902.4,2413985062
,,All,,,,All,,Pearls and gemstones,2009,67372455.56,159645.1684
