Exporter M.49,Exporter ISO3,Exporter,Exporter region,Importer M.49,Importer ISO3,Importer,Importer region,Resource,Year,Value (1000USD),Weight (1000kg),value share,weight share
,,All,,,,All,,Agricultural products,2015,1148398291,2265085699,23,17.5
,,All,,,,All,,Fertilizers,2015,73522403.07,220127491.3,1.5,1.7
,,All,,,,All,,Forestry products,2015,150782296,444630688.5,3,3.4
,,All,,,,All,,Fossil fuels,2015,2235921262,6615906837,44.8,51.1
,,All,,,,All,,Metals and minerals,2015,1263272218,3395684688,25.3,26.2
,,All,,,,All,,Pearls and gemstones,2015,118330373.9,478105.6469,2.4,0.00E+00
,,All,,,,All,,Agricultural products,2016,1141285619,2139155881,25.6,16.3
,,All,,,,All,,Fertilizers,2016,58756078.51,224534745.6,1.3,1.7
,,All,,,,All,,Forestry products,2016,150046961.1,465461208.3,3.4,3.5
,,All,,,,All,,Fossil fuels,2016,1773364182,6809959563,39.8,51.8
,,All,,,,All,,Metals and minerals,2016,1200318591,3511318114,26.9,26.7
,,All,,,,All,,Pearls and gemstones,2016,132399340.9,345273.0591,3,0.00E+00
,,All,,,,All,,Agricultural products,2017,1235016177,1724421275,24,12.8
,,All,,,,All,,Fertilizers,2017,62696591.7,245947412.6,1.2,1.8
,,All,,,,All,,Forestry products,2017,156869887,463476625.9,3.1,3.4
,,All,,,,All,,Fossil fuels,2017,2157201115,6802402282,41.9,50.4
,,All,,,,All,,Metals and minerals,2017,1391202176,4259366006,27.1,31.6
,,All,,,,All,,Pearls and gemstones,2017,139913828.1,1312573.317,2.7,0.00E+00
,,All,,,,All,,Agricultural products,2018,1263282272,1803161385,21.5,13.8
,,All,,,,All,,Fertilizers,2018,69578348.34,239565445.8,1.2,1.8
,,All,,,,All,,Forestry products,2018,178071925.2,485316034.9,3,3.7
,,All,,,,All,,Fossil fuels,2018,2743915449,6774292671,46.7,52
,,All,,,,All,,Metals and minerals,2018,1481832604,3718159336,25.2,28.6
,,All,,,,All,,Pearls and gemstones,2018,140323384.4,762387.814,2.4,0.00E+00
,,All,,,,All,,Agricultural products,2019,1225052128,1630338592,21.9,12.6
,,All,,,,All,,Fertilizers,2019,70007814.53,240555961.1,1.3,1.9
,,All,,,,All,,Forestry products,2019,164178426.7,486246868.4,2.9,3.8
,,All,,,,All,,Fossil fuels,2019,2607211770,6923217910,46.7,53.5
,,All,,,,All,,Metals and minerals,2019,1400384456,3662015504,25.1,28.3
,,All,,,,All,,Pearls and gemstones,2019,118068475.5,124666,2.1,0.00E+00
