Exporter M.49,Exporter ISO3,Exporter,Exporter region,Year,Value (1000USD),Weight (1000kg)
4,AFG,Afghanistan,Central and Southern Asia,2005,159830.978,299824.416
8,ALB,Albania,Europe,2005,215893.0975,699911.0527
10,ATA,Antarctica,,2005,4.236,39.539
12,DZA,Algeria,Northern Africa and Western Asia,2005,47764292.24,144704212.1
16,ASM,American Samoa,Oceania (excl. Australia and New Zealand),2005,9444.541,19195.298
20,AND,Andorra,Europe,2005,35984.89526,588074.4445
24,AGO,Angola,Sub-Saharan Africa,2005,21346002.44,55646435.15
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,2005,43426.30661,23646.09375
31,AZE,Azerbaijan,Northern Africa and Western Asia,2005,4790930.175,12260931.89
32,ARG,Argentina,Latin America and the Caribbean,2005,30474452.36,97879233.28
36,AUS,Australia,Australia and New Zealand,2005,88675490.58,663387423.3
40,AUT,Austria,Europe,2005,18815963.28,30932882.34
44,BHS,Bahamas,Latin America and the Caribbean,2005,670658.3866,2974407.643
48,BHR,Bahrain,Northern Africa and Western Asia,2005,12994228.01,30809637.54
50,BGD,Bangladesh,Central and Southern Asia,2005,1367255.459,1997728.536
51,ARM,Armenia,Northern Africa and Western Asia,2005,657014.6964,656177.6602
52,BRB,Barbados,Latin America and the Caribbean,2005,114222.2879,329100.7528
56,BEL,Belgium,Europe,2005,84142951.94,163102522.6
60,BMU,Bermuda,Northern America,2005,6573.99,67788.413
64,BTN,Bhutan,Central and Southern Asia,2005,88431.37577,863764.8585
68,BOL,Bolivia,Latin America and the Caribbean,2005,2421576.345,14388646.23
70,BIH,Bosnia Herzegovina,Europe,2005,1199067.367,8992854.99
72,BWA,Botswana,Sub-Saharan Africa,2005,4039531.254,936703.3455
74,BVT,Bouvet Island,,2005,36.187,76.909
76,BRA,Brazil,Latin America and the Caribbean,2005,69946461.13,366902773.8
84,BLZ,Belize,Latin America and the Caribbean,2005,268711.4636,447897.8492
86,IOT,British Indian Ocean Territory,,2005,168.11,144.86
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),2005,96792.404,359260.278
92,VGB,British Virgin Islands,Latin America and the Caribbean,2005,100689.039,129559.604
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),2005,5776730.743,15864538.34
100,BGR,Bulgaria,Europe,2005,5253835.374,12941409.44
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),2005,2689351.792,12686570.31
108,BDI,Burundi,Sub-Saharan Africa,2005,121707.0276,51884.15886
112,BLR,Belarus,Europe,2005,9067440.385,33759185.1
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),2005,230754.8068,326572.0056
120,CMR,Cameroon,Sub-Saharan Africa,2005,3646377.424,8037418.333
124,CAN,Canada,Northern America,2005,144234722.8,458287063
132,CPV,Cabo Verde,Sub-Saharan Africa,2005,65969.03315,166893.8218
136,CYM,Cayman Islands,Latin America and the Caribbean,2005,81983.236,195638.418
140,CAF,Central African Republic,Sub-Saharan Africa,2005,58836.365,111479.165
144,LKA,Sri Lanka,Central and Southern Asia,2005,1945603.498,1416209.102
148,TCD,Chad,Sub-Saharan Africa,2005,2122555.268,6028252.065
152,CHL,Chile,Latin America and the Caribbean,2005,35643549.59,29350229.02
156,CHN,China,China,2005,84560214.39,499174673.7
162,CXR,Christmas Islands,,2005,15991.892,234514.759
166,CCK,Cocos Islands,,2005,341.35,6471.255
170,COL,Colombia,Latin America and the Caribbean,2005,15909831.35,86515227.29
174,COM,Comoros,Sub-Saharan Africa,2005,22695.619,13109.003
175,MYT,Mayotte,Sub-Saharan Africa,2005,788.2738235,497.8168048
178,COG,"Congo, Republic",Sub-Saharan Africa,2005,6107848.872,15063697.35
180,COD,"Congo, Democratic Republic",Sub-Saharan Africa,2005,721603.938,1210082.097
184,COK,Cook Islands,Oceania (excl. Australia and New Zealand),2005,10929.03384,4989.833077
188,CRI,Costa Rica,Latin America and the Caribbean,2005,2939866.604,4625361.138
191,HRV,Croatia,Europe,2005,2638664.763,11952860.06
192,CUB,Cuba,Latin America and the Caribbean,2005,1805729.209,2591656.877
196,CYP,Cyprus,Northern Africa and Western Asia,2005,778100.6685,2094419.565
203,CZE,Czech Republic,Europe,2005,9451835.343,32949995.35
204,BEN,Benin,Sub-Saharan Africa,2005,554453.0974,960318.5521
208,DNK,Denmark,Europe,2005,22648106.95,35622406.18
212,DMA,Dominica,Latin America and the Caribbean,2005,35829.62576,349528.4052
214,DOM,Dominican Republic,Latin America and the Caribbean,2005,1636775.892,3274784.887
218,ECU,Ecuador,Latin America and the Caribbean,2005,10446922.89,27898269.06
222,SLV,El Salvador,Latin America and the Caribbean,2005,610827.0445,1200970.693
