Importer M.49,Importer ISO3,Importer,Importer region,Year,Value (1000USD),Weight (1000kg)
4,AFG,Afghanistan,Central and Southern Asia,2010,3859403.088,13463643.54
8,ALB,Albania,Europe,2010,1547456.585,3682412.354
10,ATA,Antarctica,,2010,96103.495,6064.312
12,DZA,Algeria,Northern Africa and Western Asia,2010,11446752.66,23448434.43
16,ASM,American Samoa,Oceania (excl. Australia and New Zealand),2010,49011.839,54279.109
20,AND,Andorra,Europe,2010,461349.6196,790424.6905
24,AGO,Angola,Sub-Saharan Africa,2010,4886973.455,8981440.542
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,2010,656827.0049,1485519.082
31,AZE,Azerbaijan,Northern Africa and Western Asia,2010,1989112.997,6555323.806
32,ARG,Argentina,Latin America and the Caribbean,2010,9615973.772,22511648.87
36,AUS,Australia,Australia and New Zealand,2010,46023218.27,70137639.92
40,AUT,Austria,Europe,2010,42058070.08,76690908.19
44,BHS,Bahamas,Latin America and the Caribbean,2010,4328029.464,7293291.966
48,BHR,Bahrain,Northern Africa and Western Asia,2010,8686636.414,26992993.94
50,BGD,Bangladesh,Central and Southern Asia,2010,14144297.99,34097199.21
51,ARM,Armenia,Northern Africa and Western Asia,2010,1429381.787,3210622.794
52,BRB,Barbados,Latin America and the Caribbean,2010,1547319.835,2397885.257
56,BEL,Belgium,Europe,2010,114149492.8,190929454.5
60,BMU,Bermuda,Northern America,2010,275465.0569,438503.0989
64,BTN,Bhutan,Central and Southern Asia,2010,290227.7093,886050.2823
68,BOL,Bolivia,Latin America and the Caribbean,2010,1295479.946,1958010.825
70,BIH,Bosnia Herzegovina,Europe,2010,3145189.889,6030481.988
72,BWA,Botswana,Sub-Saharan Africa,2010,4060990.996,3637492.969
74,BVT,Bouvet Island,,2010,4711.975,4818.006
76,BRA,Brazil,Latin America and the Caribbean,2010,56769518.81,116876206.5
84,BLZ,Belize,Latin America and the Caribbean,2010,266076.3849,581472.5045
86,IOT,British Indian Ocean Territory,,2010,2534.306,2536.893
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),2010,43593.415,65978.93
92,VGB,British Virgin Islands,Latin America and the Caribbean,2010,954907.474,4279454.945
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),2010,541097.8026,1116880.086
100,BGR,Bulgaria,Europe,2010,11411347.96,19277860.42
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),2010,2567869.503,6052305.369
108,BDI,Burundi,Sub-Saharan Africa,2010,153447.7744,403432.2227
112,BLR,Belarus,Europe,2010,17387043.39,43259774.85
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),2010,2996225.012,4159679.331
120,CMR,Cameroon,Sub-Saharan Africa,2010,2504336.179,5342847.927
124,CAN,Canada,Northern America,2010,87839686.89,196433093.2
132,CPV,Cabo Verde,Sub-Saharan Africa,2010,354145.2754,814633.181
136,CYM,Cayman Islands,Latin America and the Caribbean,2010,460118.698,971325.229
140,CAF,Central African Republic,Sub-Saharan Africa,2010,281833.3749,425888.3092
144,LKA,Sri Lanka,Central and Southern Asia,2010,6077047.61,12440577.26
148,TCD,Chad,Sub-Saharan Africa,2010,446511.355,724264.908
152,CHL,Chile,Latin America and the Caribbean,2010,18361557.59,36381771.34
156,CHN,China,China,2010,500117365.5,1548292097
162,CXR,Christmas Islands,,2010,10750.505,12586.199
166,CCK,Cocos Islands,,2010,1201.16,1343.274
170,COL,Colombia,Latin America and the Caribbean,2010,9187660.736,17335058.98
174,COM,Comoros,Sub-Saharan Africa,2010,114209.5362,519760.3216
175,MYT,Mayotte,Sub-Saharan Africa,2010,67591.856,132136.839
178,COG,"Congo, Republic",Sub-Saharan Africa,2010,683566.5026,1632787.587
180,COD,"Congo, Democratic Republic",Sub-Saharan Africa,2010,1475332.029,2639107.621
184,COK,Cook Islands,Oceania (excl. Australia and New Zealand),2010,22606.335,24251.086
188,CRI,Costa Rica,Latin America and the Caribbean,2010,3618953.632,6072299.45
191,HRV,Croatia,Europe,2010,6694924.196,14745112.75
192,CUB,Cuba,Latin America and the Caribbean,2010,1901397.962,3784210.113
196,CYP,Cyprus,Northern Africa and Western Asia,2010,4549591.867,11331152.85
203,CZE,Czech Republic,Europe,2010,28049478.85,47424542.56
204,BEN,Benin,Sub-Saharan Africa,2010,1990574.303,4181072.514
208,DNK,Denmark,Europe,2010,20124946.86,36316679.69
212,DMA,Dominica,Latin America and the Caribbean,2010,105554.711,111414.5896
214,DOM,Dominican Republic,Latin America and the Caribbean,2010,6565555.723,12116577.58
218,ECU,Ecuador,Latin America and the Caribbean,2010,7703217.928,12633859.67
222,SLV,El Salvador,Latin America and the Caribbean,2010,2707003.455,4689309.597
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,2010,3069220.837,1116224.429
231,ETH,Ethiopia,Sub-Saharan Africa,2010,3265181.72,6139550.68
232,ERI,Eritrea,Sub-Saharan Africa,2010,106197.458,245385.072
233,EST,Estonia,Europe,2010,4576029.197,9281939.398
234,FRO,Faeroe Islands,Europe,2010,249700.387,476032.43
238,FLK,Falkland Islands (Malvinas),Latin America and the Caribbean,2010,34443.387,54047.859
239,SGS,South Georgia and the South Sandwich Islands,,2010,1191.253,1483.481
242,FJI,Fiji,Oceania (excl. Australia and New Zealand),2010,890905.6588,1473773.987
